Other Flag,Trading symbol,Exact title and class of securities outstanding,CUSIP,Par/stated value,Total shares authorized,Authorized Date,Total shares oustanding,Outstanding Date,Number of shares in the Public Float, Public float Date,Total number of shareholders of Record,Shareholders Date,ID,Submission Year,Submission Year File Number,file,Link
True,, Preferred,, 01," 10,000,000 "," September 30, 2021"," 10,000,000 "," September 30, 2021",None,None,None,None,CDSG,2021,1,CDSG_2021_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/310029/content
True,, Preferred,, 01," 10,000,000 "," September 30, 2022"," 10,000,000 "," September 30, 2022",None,None,None,None,CDSG,2022,1,CDSG_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/353728/content
True,, Preferred,, 01," 10,000,000 "," September 30, 2022"," 10,000,000 "," September 30, 2022",None,None,None,None,CDSG,2022,2,CDSG_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/352346/content
True,,, N/A, $0.001," 50,000,000 "," December 31, 2020"," 2,557,550 "," December 31, 2020",None,None,None,None,CFGX,2021,2,CFGX_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/303037/content
True, N/A,, N/A, $0.001, 100 ," December 31, 2019", 100 ," December 31, 2019",None,None,None,None,CFGX,2021,4,CFGX_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302923/content
True, N/A,, N/A, $0.001," 50,000,000 "," December 31, 2019"," 2,557,550 "," December 31, 2019",None,None,None,None,CFGX,2021,4,CFGX_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/302923/content
True,," Series A Preferred Stock 6,000,000 authorized", N/A, $0.001," 6,000,000 "," June 30, 2022"," 6,000,000 "," June 30, 2022",None,None,None,None,CGUD,2022,1,CGUD_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/348216/content
True,," Series A Preferred Stock 6,000,000 authorized", N/A, $0.001," 6,000,000 "," June 30, 2022"," 6,000,000 "," June 30, 2022",None,None,None,None,CGUD,2022,2,CGUD_2022_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/347557/content
True, N/A, Preferred Stock, N/A, $0.001," 5,000,000* "," November 9, 2020", 0 ," November 9, 2020",None,None,None,None,CHYI,2020,1,CHYI_2020_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/264388/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 100,000,000 ", 10/31/2020, 0 , 10/31/2020,None,None,None,None,CIVX,2021,2,CIVX_2021_Annual_2.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301207/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 100,000,000 ", 10/31/2019, 0 , 10/31/2019,None,None,None,None,CIVX,2021,3,CIVX_2021_Annual_3.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301205/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 100,000,000 ", 10/31/2019, 0 , 10/31/2019,None,None,None,None,CIVX,2021,4,CIVX_2021_Annual_4.txt,https://www.otcmarkets.com/otcapi/company/financial-report/301094/content
True, N/A, Series A Convertible Super Preferred Stock, N/A, 0.001," 5,000,000 ", 10/31/2021, 50 , 10/31/2021,None,None,None,None,CIVX,2022,1,CIVX_2022_Annual_1.txt,https://www.otcmarkets.com/otcapi/company/financial-report/319324/content
